Subject;Building component;Quantities;Constructions;Materials in Danish EPD name;Quantities;Unit ;Lifetime;Comments;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;Maling;Flugger PRO 5;0.345;kg/m2;15;;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;Grunder;Overflade, facademaling, grundere, silikat;0.185;kg/m2;50;;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;Gisplader;Gyproc Climate;2;m2/m2;60;;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;Insulation;Isover formstyker 37, 300mm;0.3;m3/m2;80;;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;Wood structure;Konstruktionstræ af fyr og gran, savede og tørrede;10;kg/m2;120;;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;FiberCementplade;Windstopper extreme;1;m2/m2;80;;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;Stålskinnesystem;stål, valsede profiler og plader;1.45;kg/m2;120;;;;;;;;;;;;;;;;;;;;;;;;;
Externarl facade;External walls;;FiberCement facadeplade;Swisspearl Deco;1;m2/m2;80;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Basement internal walls;;Concrete wall;Beton vægelementer, 20 cm tyk;0.5;m2/m2;120;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Core load bearing internal walls;;Concrete wall;Beton vægelementer, 20 cm tyk;1;m2/m2;120;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Wood structure internal - non load bearing wall;;Wood structure;Konstruktionstræ af fyr og gran, savede og tørrede;3.2;kg/m2;100;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Wood structure internal - non load bearing wall;;Insulation;Isover formstyker 37, 300mm;0.3;m3/m2;80;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Wood structure internal - non load bearing wall;;Gisplader;Gyproc Climate;4;m2/m2;60;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Wood structure internal - non load bearing wall;;Maling;Flugger PRO 5;0.7;kg/m2;15;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Wood structure internal - non load bearing wall;;Grunder;Overflade, facademaling, grundere, silikat;0.35;kg/m2;50;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Internal glass walls;;Standard construction from LCAbyg2023;Glas 4mm;25;kg/m2;40;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Internal glass walls;;Standard construction from LCAbyg2023;aluminiumsprofil;0.4;kg/m2;60;;;;;;;;;;;;;;;;;;;;;;;;;
Internal walls;Internal glass walls;;Standard construction from LCAbyg2023;EPDM-tætning til aluminiumsprofil;0.13;kg/m2;30;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
